Key,en,es,ar,fr,hi
enter The OTPCode Send To,We sent a 6-digit code to your email,Le enviamos un código de 6 dígitos a su correo electrónico,لقد أرسلنا رمزًا مكونًا من 6 أرقام إلى بريدك الإلكتروني,Nous avons envoyé un code à 6 chiffres à votre email,हमने आपके ईमेल पर 6 अंकों का कोड भेजा है
enter The Google Auth OTPCode,Enter OTP Code From Google Authenticator,Ingrese el código OTP del Autenticador de Google,أدخل رمز OTP من Google Authenticator,Entrez le code OTP de Google Authenticator,Google प्रमाणक से ओटीपी कोड दर्ज करें
verified Code,Verified Code,Código verificado,رمز التحقق,Code vérifié,सत्यापित कोड
at Andt,AT&T,AT&T,ايه تي اند تي,AT&T,एटी एंड टी
phone Number,Phone Number,Número de teléfono,رقم التليفون,Numéro de téléphone,फ़ोन नंबर
o TPVerification,Otp Verification,Verificación OTP,التحقق من OTP,Vérification OTP,ओटीपी सत्यापन
email Verification,Email Verification,Verificación de correo electrónico,التحقق من البريد الإلكتروني,Vérification par e-mail,ईमेल सत्यापन
resend,Resend,Reenviar,إعادة الإرسال,Renvoyer,पुन: भेजें
xxx,xxx xxxx xxx,xxx xxxx xxx,xxx xxx xxx,xxx xxxx xxx,क्सक्सक्स क्सक्सक्स क्सक्सक्स
pay And Go,PAY AND GO,PAGA Y VAYA,ادفع وانطلق,PAYER ET PARTIR,भुगतान करें और जाएं
the Codeis Not Valid,The code is not valid,El código no es válido.,الرمز غير صالح,Le code n'est pas valide,कोड मान्य नहीं है
number,1684,1684,1684,1684,1684
number Plus1684,+1684 632 5468 783,+1684 632 5468 783,+1684 632 5468 783,+1684 632 5468 783,+1684 632 5468 783
skip,Skip,Saltar,يتخطى,Sauter,छोडना
next,Next,Próximo,التالي,Suivant,अगला
enter Password,Enter password,Introduce la contraseña,أدخل كلمة المرور,Entrez le mot de passe,पास वर्ड दर्ज करें
app Not Available,App Not Available,Aplicación no disponible,التطبيق غير متوفر,Application non disponible,ऐप उपलब्ध नहीं है
permission Denied,Permission Denied,Permiso denegado,تم رفض الإذن,Autorisation refusée,अनुमति नहीं मिली
app Not Available Sub Title,is suddenly not available in the current region/country.,De repente no está disponible en la región/país actual.,أصبح فجأة غير متوفر في المنطقة/البلد الحالي.,n'est soudainement plus disponible dans la région/le pays actuel.,वर्तमान क्षेत्र/देश में अचानक उपलब्ध नहीं है।
please Enter Your Register,Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps.,Tome el control de su cuenta restableciendo su contraseña. Nuestra página de recuperación de contraseña lo guía a través de los pasos necesarios.,السيطرة على حسابك عن طريق إعادة تعيين كلمة المرور الخاصة بك. ترشدك صفحة استعادة كلمة المرور الخاصة بنا خلال الخطوات اللازمة.,Prenez le contrôle de votre compte en réinitialisant votre mot de passe. Notre page de récupération de mot de passe vous guide à travers les étapes nécessaires.,अपना पासवर्ड रीसेट करके अपने खाते पर नियंत्रण रखें। हमारा पासवर्ड पुनर्प्राप्ति पृष्ठ आपको आवश्यक चरणों में मार्गदर्शन करता है।
continues,continues,continúa,يستمر,continue,जारी है
continuee,Continue,Continuar,يكمل,Continuer,जारी रखना
usd100,100.00 USD,"100,00 USD",100.00 دولار أمريكي,"100,00 USD",100.00 अमरीकी डालर
total Price,Total Price,Precio Total,السعر الإجمالي,Prix ​​total,कुल कीमत
drop Your File,Drop your file,Deja tu archivo,قم بإسقاط الملف الخاص بك,Déposez votre fichier,अपनी फ़ाइल छोड़ें
have Account,Have An Account?,¿Tiene una cuenta?,هل لديك حساب؟,Vous avez un compte ?,एक खाता है?
sign In Information,Log in and Stay Connected,Inicie sesión y manténgase conectado,تسجيل الدخول والبقاء على اتصال,Connectez-vous et restez connecté,लॉग इन करें और जुड़े रहें
sign Up Information,Register an Account Today,Registre una cuenta hoy,قم بتسجيل حساب اليوم,Créez un compte aujourd'hui,आज ही खाता पंजीकृत करें
agree,Please agree with term and condition,Por favor acepte los términos y condiciones.,يرجى الموافقة على المصطلح والشرط,Veuillez accepter les termes et conditions,कृपया नियम एवं शर्त से सहमत हों
sign In Information Subtitle,"Our secure login process ensures the confidentiality of your information. Log in today and stay connected to your finances, anytime and anywhere.","Nuestro proceso de inicio de sesión seguro garantiza la confidencialidad de su información. Inicie sesión hoy y manténgase conectado con sus finanzas, en cualquier momento y en cualquier lugar.",تضمن عملية تسجيل الدخول الآمنة لدينا سرية معلوماتك. قم بتسجيل الدخول اليوم وابق على اتصال بأموالك في أي وقت وفي أي مكان.,"Notre processus de connexion sécurisé garantit la confidentialité de vos informations. Connectez-vous aujourd'hui et restez connecté à vos finances, à tout moment et en tout lieu.",हमारी सुरक्षित लॉगिन प्रक्रिया आपकी जानकारी की गोपनीयता सुनिश्चित करती है। आज ही लॉग इन करें और किसी भी समय और कहीं भी अपने वित्त से जुड़े रहें।
sign Up Details,Become a part of our community by registering for an account today. Enjoy a range of benefits and features tailored to meet your needs.,Conviértase en parte de nuestra comunidad registrándose para obtener una cuenta hoy. Disfrute de una variedad de beneficios y características diseñadas para satisfacer sus necesidades.,كن جزءًا من مجتمعنا من خلال التسجيل للحصول على حساب اليوم. استمتع بمجموعة من المزايا والميزات المصممة خصيصًا لتلبية احتياجاتك.,Devenez membre de notre communauté en créant un compte dès aujourd'hui. Bénéficiez d’une gamme d’avantages et de fonctionnalités adaptés à vos besoins.,आज ही एक खाते के लिए पंजीकरण करके हमारे समुदाय का हिस्सा बनें। अपनी आवश्यकताओं को पूरा करने के लिए तैयार किए गए अनेक लाभों और सुविधाओं का आनंद लें।
verification Code,Verification Code,Código de verificación,رمز التحقق,Le code de vérification,सत्यापन कोड
enter Your Verification Code,"Enter the verification code which one we send you in your email, to verified your account.","Ingresa el código de verificación que te enviamos a tu correo electrónico, para verificar tu cuenta.",أدخل رمز التحقق الذي أرسلناه إليك في بريدك الإلكتروني للتحقق من حسابك.,"Entrez le code de vérification que nous vous envoyons dans votre e-mail, pour vérifier votre compte.",अपना खाता सत्यापित करने के लिए वह सत्यापन कोड दर्ज करें जो हम आपको आपके ईमेल पर भेजते हैं।
